text_EN,text,modified,notes
Lord Razyk,ラジク卿,ラツェク卿,Pan Racek
Elisabeth of Schönau,シェーナウのエリザベス,シェーナウのエリザベト,
Katherine of Siena,シエナのカテリーナ,シエナのカタリナ,
St. Brigit,聖ブリジッド,聖ブリギタ,
Hildegard of Bingen,ヒルデガルト・フォン・ビンゲン,ビンゲンのヒルデガルダ,
Henry I,ヘンリー1世,インジフI世,
Wilheim I,ヴィルヘルム1世,ヴィルヘルムI世,
Laszo,ラスロォォ,ラースローッ,
Henry,ヘンリィィィ！,インジッッフ！,
Thadeus,サディアス,タデアーシュ,
Thadeus,サディアァァス！,タデアーッシュ！,
Menhart,メンハートォォ！,メンハルトォォ！,
Black Peter,漆黒のォ！ ピータァァァ！,漆黒のォ！ ペェーートル！,
Jira,ジーラァァ！,イーラァァ！,
Stephen,スティーブゥゥン！,スチェパァーン！,
Mulat I,ムラト1世,ムラートI世,
,バルトロメーオ・プリニャーノ,バルトロメーオ゠プリニャーノ,
,アルブレヒト3世,アルブレヒトIII世,
,アルブレヒト4世,アルブレヒトIV世,
John Sokol,ヨン・スコル,ヤン゠ソコル,
John Sokol of Lamberg ,ランバーグのヨン・スコル ,ランベルクのヤン゠ソコル,Jan Sokol z Lamberka
John Sokol of Lamberg ,ランバーグのヨン・スコル,ランベルクのヤン゠ソコル,Jan Sokol z Lamberka
Boniface VIII,ボニファティウス8世,ボニファティウスVIII世,Bonifatius VIII
Boniface IX,ボニファティウス9世,ボニファティウスIX世,Bonifatius IX
Pietro Tomacerri,ピエトロ・トマセッリ,ピエトロ゠トマチェッリ,Pietro Tomacerri
Clement VII,クレメンス7世,クレメンスVII世,Clemens VII
Benedict XIII,ベネディクトゥス13世,ベネディクトゥスXIII世,Benedictus XIII
Benedict XIV,ベネディクトゥス14世,ベネディクトゥスXIV世,
Clement VIII,クレメンス8世,クレメンスVIII世,
John XXIII,ヨハネス23世,ヨハネスXXIII世,
,バルトロメーオ・ディ・ブリニャーノ,バルトロメーオ゠ディ゠ブリニャーノ,
Geroge XI,グレゴリウス11世,グレゴリウスXI世,
Geroge XII,グレゴリウス12世,グレゴリウスXII世,
Martin V,マルティヌス5世,マルティヌスV世,
Smil Flashka,スミル・フラシュカ,スミル゠フラシュカ,Smil Flaška
Lazar Hrebeljanović,ラザル・フレベリャノヴィチ,ラザル゠フレベリヤノヴィチ,Lazar Hrebeljanović
Vuk Brancovic,ヴューク・ブランコヴィチ,ヴーク゠ブランコヴィチ,Vuk Brancovic
Tvrtko I,トヴルトコ1世,トヴルトコI世,
St. George,聖ジョージ,聖ゲオルギウス,
Razyk,ラジク,ラツェク,Racek
Jan Budínsk,ヤン・ブディンスキ,ヤン゠ブディーンスキー,Jan Budínsk
"Jan ""Birdie"" Ješek",ヤン・バーディー・イェシェック,ヤン゠プターチェク゠イェシェク,Jan Ptacek Jesek
Charles IV,チャールズ4世,カレルI世,Karel I
Charles,チャールズ,カレル,Karel
Jan Hus,ヤン・フス,ヤン゠フス,Jan Hus
Wenceslaus,ベンツェスラウス,ヴァーツラフ,Valcav
Konrad von Waldhausen,コンラッド・フォン・ヴァルトハウゼン,コンラート゠フォン゠ヴァルトハウゼン,
Sigismund,シギスムンド,ジクムント, Zykmund
Jobst,ヨブスト,ヨシュト,Jošt
Istvan,イストヴァン,イシュトヴァーン,Istvan
Vilém Zajíc,ヴィレム・ザイーク,ヴィレーム゠ザイーツ,Vilém Zajíc
Hanekin Hare,ハネキン・ヘア,ヤン゠ザイーツ,Jan Zajíc
,ローゼンバーグのヘンリー3世（ロージンベルカのインジヒ3世）,ロジュムベルクのインジフIII世,
Hanekin,ハネキン,ヤン゠ザイーツ,Jan Zajíc
Nicholas,ニコラス,ミクラーシュ,Mikuláš
Margarita,マルガリタ,マルケータ,Marketa
Katerina,カテリナ,カテジナ,Kateřina
Katerina,カテリーナ,カテジナ,Kateřina
Matthew of Janow,ヤノヴのマシュー ,ヤノフのマチェイ,Matěj z Janova 
Henry,ヘンリー,インジフ,Jindřich
,ヴィレーム（ヴィルヘルム）,ヴィレーム,
Hermann,ハーマン,ヘルジマン,Heřman
Theresa,テレーザ,テレザ,Tereza
Emmeram 1086,エメラム,イムラム,Jimram 
Božetěch,ボジェチェフ ,ボジェチェフ,Božetěch
Děthard,デサード ,ジェトハルト,Děthard
Děthard,デトハート,ジェトハルト,Děthard
Elizabeth,エリザベス,アルジュベタ,Alžběta
Silvestr,シルヴェストル ,シルヴェストル ,Silvestr
Božata 1161,ボザータ ,ボジャタ,Božata
Reginhard 1162,ラインハルト ,レギンハルト,Reginhard
9. Unlisted,9.不明 ,9. 欠落,
Blažej,ブラジェイ ,ブラジェイ,Blažej 
John I,ヤン1世 ,ヤンI世,Jan I.
Matthew,マタイ ,マチェイ,Matěj 
Přibyslav,プジビスラフ ,プシビスラフ,Přibyslav
Albert,アルベルト ,アルベルト,Albert 
Peter of Zbýšov,ズビーショフのペテル ,ズビーショフのペトル,Petr ze Zbýšova 
,ヘンリー・オブ・アイアン（インジヒ・ジェレズニー）,インジフ゠ジェレズニー,
,クララ（クラーラ）,クラーラ,
,マーガレット（マルケタ）,マルケータ,
,キャサリン（カテジナ）,カテジナ,
,ジョン（ヤン）,ヤン,
,セネク（チェニェク）,チェニェク,
,ベルトホールド（ベルトルト）,ベルトルト,
John II,ヤン2世,ヤンII世,Jan II. 
Nevlas,ネブラス,ネヴラス,Nevlas
Godwin,ゴドウィン,ボフタ,Bohuta
Matthew,マシュー,マトゥシュ,Matuš
Flitz,フリッツ,フリツェク,Fricek
Roberd,ロバード,ボジェク,Bořek
Bernard,バーナード,ベルナルト,Bernard
Divish,ディビシュ,ディヴィシュ,Divis
Libuse,リブセ,リブシェ,Libse
Heinrich,ハインリッヒ,ハインリヒ,
Milan,ミラン,マーハル,Máchal
Peter,ピーター,ペトル,Petr
John,ジョン,ヤン,Jan
Sbinko,スビンコ,ズビンコ,Sbinko
Simon,サイモン,シモン,Simon
Jenda,ジェンダ,イェンダ,Jenda
Stibor,シュティボール,シュティボル,Stibor
Antonius,アントニウス,アントニーン,Antonín
Siskin,シスキン,チージェク,Čížek
Lucas,ルーカス,ルカーシュ,Lukáš
Elias,エリアス,エリアーシュ,Eliáš
Jalub,ヤコブ,ヤクプ,Jakub
Matthias,マティアス,マチェイ,Matěj
Mark,マーク,マレク,Marek
Ruda,ルダー,ルダ,Ruda
Kunhuta,クヌタ,クンフタ,Kunhuta
Loukota,ロコタ,ロウコタ,Loukota
Konrad,コンラッド,コンラート,Konrad、ドイツ人名のみ?
Kornelius,コーネリアス,クロイハンズル,Krojchanzl
Hagen Zul,ヘイゲン・ズル,ハゲン゠ズール,Hagen Zúl
Hagen Zul,ハゲン・ズール,ハゲン゠ズール,
Miklas Zoul,ミクラーシュ・ゾール,ミクラーシュ゠ズール,Miklash Zul
Ota,オータ,オタ,Ota
Gertrud,ガートルード,ゲルトルーデ,Gertrúdě
Aničku,アニー,アニチカ,
Tobias,トビアス,トビアーシュ,
Tobias,トバイアス,トビアーシュ,
Anezhka,アネズカ,アネシュカ,
Malis,マリス,プラホシュ,Prachoš
Margaret,マーガレット,マルケータ,Markéta	
Mark,マーク,マレク,Marek
Arnest,アーネスト,アルノシュト,Arnošt 
Gossip,ゴシップ,ドルブナ,Drbna
Fink,フィンク,ズヴェスト,Zvěst
Ernest,アーネスト,アルノシュト,Arnošt
Vitus,ヴィトス,ヴィート,Vit
Borislav,ボジスラフ,ボジスラフ,Boristav
Stepany,ステファニー,シュチェパーンカ,Štěpánka
Peter,ペテル,ペトル,Petr
Kuno Eiser,クノ・エイセル,クノ゠エイセル,
,サー・セバスチャン・ヴォン・バーク,セバスティアン゠フォン゠ベルク卿,
Avicenna,アヴィセンナ,アウィケンナ,Avicenna
Konrad Lichstein,コンラッド・リヒテンシュタイン,コンラート゠リフシュテイン,
Walenrode,ヴァレンローデ,ヴァレローデ,
Swartzburg,スワーツバーグ,シュヴァルツブルク,
Merheim the burser,メルヘイム,会計係のメルハイム,
Ipinburg,イピンブルグ,イピンブルク,
Commander Wobek,ウォベック司令官,ウォベク隊長,
Eifenstein,アイフェンシュタイン,アイフェンシュテイン,
Ramungen,ラムンゲン,ラムンゲン,
Hagen,ハーゲン,ハゲン,Hagen
Woyzeck,ウォイチェク,ヴォイチェク,Vojtěch
Kuttenberg,クッテンバーク,クッテンベルク, Kutternberk、現在のクトナー゠ホラ
Skalitz,スカリッツ,スカリツェ,Skalice、現在のStříbrná Skalice
,シルバー・スカリツェ（ドイツ語ではストジーブルナー・スカリツェ）,ストジーブルナー゠スカリツェ,
Leipa,ライパ,リパー,Lipa、現在のČeská Lípa
Trosky,トロスキー,トロスキ,Trosky
Korečník,コレチェニク,コレチュニーク,Korečník
Korečník,コレチニック,コレチュニーク,Korečník
Korečník,コレチュニク,コレチュニーク,Korečník
Rattay,ラッタイ,ラタイェ,Rataje、現在のRataje nad Sázavou
Ratty on Sasau,サーザヴァ側のラタイェ,ラタイェ゠ナト゠サーザヴォウ,Rataje nad Sázavou
Talmberg,タルムバーク,タルムベルク,Talmberk
Kamberg,カンバーク,カムベルク,Kamberg
Uzhitz,ウージッツ,ウージツェ,Úžice
Pryvislavitz,プリビスラヴィッツ,プシヴィスラヴィツェ,Přibyslavice
Sasau,ササウ,サーザヴァ,Sázava
Sázava,ササーヴァ,サーザヴァ,Sázava
Pirkstein,ピルクシュタイン,ピルクシュテイン,Pirkštejn
Samopesh,サモペシュ,サモプシェ,Samopše
Merhojed,マホイエド,ムルホイェディ,Mrhojedy
Vlanik,ヴラーニク,ヴラニーク,Vlanik
Divish,ディヴィシュ（ディビシュ）,デイヴィシュ,Diviš
Janovitz,ヤノーヴィツ,ヤノヴィツェ,Janovice、現在のUhlířské Janoviceと思われる
Hradčany,フラッチャニ,フラチャニ,Hradčany
Saxon,サクソン,ザクセン,Saxen、ドイツ語
Dauba,ドーバ,ドゥバー,Dubá
Moravia,モラビア,モラヴィア,
Oleshnitz,エレスニッツ,オレスニツァ,
Rosenberg,ローゼンバーグ,ロジュムベルク,Rožmberk
Visehrad,ヴィシェフラド,ヴィシェフラト,Visehrad
Ostředek,オストジェデク,オストジェデク,Ostředek
Předklášteří,プジェドクラーシュテジー,プジェトクラーシュテジー,Předklášteří
Zajíc,ザイーク,ザイーツ,Zajíc
Zul,ズル,ズール,Zúl
Zoul,ゾール,ズール,Zúl
Zoul,ゾール家,ズール家,
Ronow,ロノブ,ロノフ,
Family of Ronow,ロノヴ家,ロノフ家,
Kuno,クーノ,クノ,Kuno
Jenstein,イェンスタイン,イェンシュテイン,
Skalice,スカリツェ（ズィルバースカリッツ、シルバースカリッツ）,スカリツェ,
Skalice,スカリツェ  ,スカリツェ,Skalice
JIhlava,イフラバ,イフラヴァ,
Zlatá Koruna,ズラタ・コルナ,ズラター゠コルナ,
Kyffhauser,キュフホイザー,キフハウザー,Kyffhauser
Rychwald,リフバウト,リフヴァルト,Rychwald、たぶんドイツ語由来
Bohemian Sternberg,ボヘミアのスタンバーク,チェスキー゠シュテルンベルク,Český Šternberk
Krivoklat,クジヴォクラート,クシヴォクラート,Křivoklát
Karlstein,カルルシュタイン,カルルシュテイン,Karlstejn
Hrádek,フラデック,フラーデク,Hrádek
Veliš,ヴェリッシュ,ヴェリシュ,Veliš
Silesia,シレーシア,シレジア,Silesia
Buzic,ブージック,ブージツェ,
Sankt Garen,ザンクト・ガレン,ザンクト゠ガレン,
Luxemburg,ルクセンブルグ,ルクセンブルク,
Hasenburg,ハーセンベルク,ハーズムブルク,Hazmburk
,ハズンブルクのプラハ司教ズビニェク・ザイーツ（ハーゼンベルク - 「ハレ城」）,プラハ司教であるハーズムブルク (「ノウサギの城」の意味) のズビニェク゠ザイーツ,
Circator,巡回者,修道長,Circator
Avar,アバール,アヴァール,
Witcher,魔物狩人,ウィッチャー,ウィッチャー.
Guild Master,ギルドマスター（長）,ギルドの棟梁,Guild Master
Klappvisor,クラップバイザー,クラップヴィーザー,Klappvisor
,セニュール（荘園領主。チェコ語ではゼマン）,ゼマン (領主),
,バロネット（準男爵。チェコ語ではヴラディカ）,ヴラディカ (準男爵),
,"（ハーセンベルクのザイーツ""野ウサギ""家など）",例えばハーズムブルク (「ノウサギ」を意味する) のザイーツ家,
,ヤン・ザイーツ（ハナーキンの野ウサギ）,ヤン゠ザイーツ,
,（パウロ、シルヴェステル、フロリアーン）,(パヴェル・シルヴェストル・フロリアーン),
,（ヤクプ、ダニェク、ヨハネ）,(ヤクプ・ダニェク・ヤン),
,（アンデレ、ミクラーシュ、ペテロ）,（オンジェイ・ミクラーシュ・ペトル）,
,（英語ではヒル、ウッズ、フォレストなど）,(ホルスキー・ザーレスキー・スカルスキー・ホジェイシー・ドレイシー),
,（コーチマン、ミラー、スミス）,(コチー・ムリナーシュ・コヴァーシュ),
,（ルディー、スモール、ブラウン）,(フラヴァティー・マリー),
,（デイビス、リトルヤン）,(ダヴィーデク・ヤンチャーク),
,（マリオットやビートン）,(マジャーク),
,ヴォン・バーク,フォン゠ベルク,
Master Strike,マスターストライク,マイスターハウ,Meisterhau、ドイツ語
Halbschwert: Half Sword,ハーブシュヴェルト:ハーフソード,ハルブシュヴェーアト〈半剣〉 ,
Duplieren: Doubling,デュプリエレン:連撃,デュプリーレン〈二重打ち〉,
Zorn ort: Wrath Strike,ゾーン・オルト:怒りの斬撃,ツォルンオルト〈怒りの一撃〉,
Durchlauffen: Run through,ドゥーシュラオフェン:走り抜け,ドゥルヒラウフェン〈走り抜け〉,
Drey Wunder: Wrist,ドライ・ウンダー:手首,ドライヴンダー (手首),
Drey Wunder: Forearm,ドライ・ウンダー:前腕,ドライヴンダー (前腕),
Fehrer: Scarmaker,フィーラー:スカーメーカー,フィーラー (フェイントからの切りつけ),
Fehler: Blinding strike,フィーラー:ブラインディングストライク,フィーラー (目くらましの打撃),
False Edge,ファルスエッジ,クルツシュナイデ,Kurzschneide
Agnus Dei,アニュス・デイ,アグヌス゠デイ,
Belgau,ベルゴー,ベルゴフ,Bergov
Battle of Cosovo,コソボの戦い,コソヴォの戦い,
INRI, インリ,ユダヤ人の王、ナザレのヨシュア,INRI
Grochen,グロッシェン,グロシュ,Gros
Grochen,プラハグロッシェン,プラハグロシュ,Gros
Pribyslavitz Boar,〈プリビスラビッツの猪〉,〈プシヴィスラヴィツェの猪〉,
De Mirabilibus Mundi,「デ・ミラビリブス・ムンディ」,『デ゠ミーラービリブス゠ムンディ (世界異聞集)』,
Liber Ignium,「リーベ・イグニウム」,『リベル゠イグニウム (炎の書)』,Liber Ignium
Lu die,ルゥのダイス,「ル」のダイス,
Ci die,シィのダイス,「シ」のダイス,
Fer die,フェルのダイス,「フェル」のダイス,
henry strike,ヘンリーストライク,インジフハウ,
henry strike,インジフストライク,インジフハウ,
Fox and Geese,『キツネとガチョウ』,Fox and Geese,
Coxcomb,コックスコーム,〈鶏頭〉,
Silver Skalitz,シルバースカリッツ,ストジーブルナー゠スカリツェ,Stříbrná Skalice
German Bscinet,ジャーマンバシネット,ドイツのバシネット,
Saex,スクラマサクス,サクス,また機械翻訳の造語癖か…
Scale Skullcap,スケイルスカルキャップ,鱗のスカルキャップ,
Light Brigandine,ライトブリガンダイン,軽いブリガンディン,
Brigandine,ブリガンダイン,ブリガンディン,
Leather Boots,レザーブーツ,革のブーツ,
Dark Padded Coif,ダークパッデッドコイフ,暗色のパッド付き頭巾,
Padded Coif,パッデッドコイフ,パッド付き頭巾,
Dark Light,ダークライト,軽い暗色の,
Light Short,ライトショート,軽く短い,
Light Lamellar Armour,ライトラメラーアーマー,軽いラメラーアーマー,
,テンサイ  ,テンサイ,
,「第三の奇跡」,「第三の攻撃」,
,「コーダ・ランガ・ストレッタ（長い尾）」ポジション,「コーダ゠ルーンガ゠エ゠ストレーッタ (長い尾の構え)」,
,戦馬,軍馬,
Ave Maria,アヴェ・マリアの祈り（ラテン語でアヴェ・マリア）,『アウェ、マリア』,
,御身の庇護の下に（ラテン語でスブ・トゥウム・プラエシディウム）,『スプ、トゥウム、プラエシディウム (御身の庇護の下に)』,
Ius Regale Montanorum,イウス・レガーレ・モンタノールム（鉱山法）,イウス゠レガーレ゠モンタノールム（鉱山法）,
,7“ペニー”,7「ペニー」,
,14ヘラー,14ハレーシュ,
,スリースコア（「コパ」、60）,「コパ (60)」,
,ライトヘルメット,軽い兜,
,ヘルメット,兜,
,キャプテンヘルメット,指揮官の兜,
,チェインメイル,鎖鎧,
,チェーンアーマー,鎖防具,
,プレートアーマー,板金鎧,
,シシャーク,シシャク,
,シシャーク（チチャク）,シシャクあるいはチチャク,
,ヴァンブレイス（前腕用防具）,前腕の防具であるヴァンブレース,
,ヴァンブレイス,ヴァンブレース,
,徒弟ヴィトスの鎧,弟子のヴィテクの鎧,
,ヴィトスのキュイラス,ヴィテクのキュイラス,
,鍛冶屋のザック,鍛冶師のザフ,
,モジミールの息子,モイミールの息子,
,オータ・ラブシュタイン,ラプシュテインのオタ,
,ディヴィシュ（ディヴィシュ）,ディヴィシュ,
,カウニッツのエルネスト（アルノシュト）,カウニツェのアルノシュト
,タルムベルク公ディヴィシュ（ディヴィシュ）,タルムベルクのディヴィシュ,
,ヴァルデクのハヴェル・メデック,ヴァルデクのハヴェル゠メデク,
,クトナー・ホラ,クトナー゠ホラ,
,8.ラインハルト,8.レギンハルト,
,ヤン1世,ヤンI世,
,ゲルトルーデ,ゲルトルダ,
,女薬草師のガートルード,女薬草師のゲルトルダ,
,女薬草師のゲルトルーデ,女薬草師のゲルトルダ,
,ゴドウィン司祭,ボフタ神父,
,コニアシュ,コニアーシュ,
,シルヴェスター,シモン,
,ヤン・イエシェック・プタチェック,ヤン゠イェシェク゠プターチェク,
,ラセック・クラヴァジェ,ラツェク゠クラヴァーシュ,
,「バーディー」（プタチェック）,プターチェク (小鳥),
,ヤン・プタチェック（ヤン=プターチェク）,ヤン゠プターチェク,
,ヤン・イエシェック,ヤン゠イェシェク,
,ヒネク・プタチェック,ヒネク゠プターチェク,
,ハヌシュ（ハヌュシュ）,ハヌシュ,
,インジヒ（インジフ）,インジフ,
,イエシェック,イェシェク,
,ロベール・ド・ジュネーヴ,ロベール゠ド゠ジュネーヴ,
,ザイチェク（小兎）・オルドジフ（？ - 1271年）,ザイチェク゠オルドジフ (? - 1271年、ザイチェクとは小兎のこと),
,ズビニェク・ザイーツ（ザイーツはチェコ語で兎を意味する）,ズビニェク゠ザイーツ (ザイーツとは兎のこと)
,ヴィルヘルム・ザイーツ,ヴィレーム゠ザイーツ,
,ヤン（ヤン）,ヤン,
,パンツカ・イエノタ,パンツカー゠イェドノタ,
,ヤン・イェンシュテイン,ヤン゠イェンシュテイン,
,モラヴィア公ヨシュト,モラヴィアのヨシュト,
,ヤン・インジフ,ヤン゠インジフ,
,サーザヴァ（サーザヴァ）,サーザヴァ,
,チェーンメイルは板金鎧,鎖鎧は板金鎧,
,ペドロ・デ・ルナ,ペドロ゠デ゠ルナ,
,ウルバヌス6世,ウルバヌスVI世,
,スカリツェ（ズィルバースカリッツ、シルバースカリッツ）,スカリツェ,
,ラツェック・コビラ,ラツェク゠コビラ,
,プジーヴラキ,プシーヴラキ,
,ストジーブルナー・スカリツェ（シルバー・スカリッツ）,ストジーブルナー゠スカリツェ,
,オクタヴィアン・キンスキー,オクタヴィアン゠キンスキー,
,トゥハニのスミル・スヴェトリーク,トゥハーニのスミル゠スヴェトリーク,
,リーパ - 今のチェスカー・リーパ,リーパ、現在のチェスカー゠リーパ,
,ハンス卿,プターチェク卿,
,サモプシェ（サモペシュ）,サモプシェ,
,ノヴェー・ドヴォリ,ノヴェー゠ドヴォリ,
,ランバーグ（ランベルク）のヨン・スコル,ラムベルクのヤン゠ソコル,
,ラツェク（ラジク）・コビラ,ラツェク゠コビラ
,ラツェック（ラジク）・コビラ,ラツェク゠コビラ,
,スカリツェ（スカリッツ）,スカリツェ,
,ロヴナー（ロヴナ）,ロヴナー,
,聖マルティン教会,聖マタイ教会,
,コモルニー・フラーデク,コモルニー゠フラーデク,
,今日のクッテンバークは,今日のクトナー゠ホラは,
,クッテンバークは1318年に都市権を獲得する,クトナー゠ホラは1318年に都市権を獲得する,
,若き王ヤン・プタチェック（ハンス・カポン）,若き領主ヤン゠プターチェク,
,ショートソード,片手剣,
,シチュー,グラーシュ,
,セラリウス,ケラッリウス,
,クトナー=ホラ（クッテンベルク）,クッテンベルク,
,一口サイズ,グラーシュ用の肉の大きさ,
