text_EN,text,modified,notes
,コンラッド・カイザー,コンラート゠キーザー,
,ザイーツ・フォン・ハーゼンブルク,ハーズムブルクのザイーツ,
,フランツィ,フランツェク,
,イェシェク・プターチェク,イェシェク゠プターチェク,
,ヒネク・プターチェク,ヒネク゠プターチェク,
Volkmar,ヴォルクマール,ヴォクシャーク,
,ドロテア,ドロタ,
,ドロシー,ドロタ,
,オーツ,ヴォヴェス,
,トーマス隊長,トマーシュ隊長,
,トーマス,トマーシュ,
,バーバラ,バルボラ,
,ドラゴンフライ,〈トンボ〉,
,チャンフロン,シャンフロン,
,ドヴォレツ,ドヴォルツェ,
,トロスキー,トロスキ,
,トロスコウィッツ,トロスコヴィツェ,
,トビアス,トビアーシュ,
,トバイアス,トビアーシュ,
,フォン・グロール,フォン゠グロール,
,フォン・ グロール,フォン゠グロール,
,ニコラス・ フラメル,ニコラス゠フラーメル,
,マーティン,マルティン,
Marta,マーサ,マルタ,
,ヴォークラン・ブラバント,ヴォークエリン゠ブラバント,
,ヤン・ポージー,ヤン゠バルシャーン
,ミロスラフ・タグボーン,ミロスラフ゠サームフラート,
,アブソルバー,ロズフジェシテル,
,アンドレアス・プルメル,アンドレアス゠プルーメル,
,イストヴァン,イシュトヴァーン,
,イストヴァン・トート,イシュトヴァーン゠トート,
,カポン,プターチェク,
,ザビッシュ,ザーヴィシュ,
,ウジェズド,ウーイェスト,
,ジュディス,ユディタ,
,プレミスル朝,プシェミスル朝,
,プシェミスル家の聖人ボヘミアのアグネス,ボヘミアの聖人、プシェミスルのアネシュカ,
,ラディスラフ2世プレミスリド王,国王であるプシェミスル家のヴラディスラフII世,
,アグネス,アネシュカ,
,ジトカ,イトカ,
,ボチェク,ボチェク,
,ルサード,ルトハルト,
,ゴッツリン,ゴツリン,
,ザルジッツ,ザールジツェ,
,シクサー,シェスターク,
,シュティボルジッツ,スティボジツ,
,シュティボル,スティボル,
,ジャレック,ヤレク,
,スカラ,スカーラ,
,スチョトレスキー,スホトレスク,
,ピーター,ペトル,
,アドレタ,アデーラ,
,ストラージュ,スタールジェ,
,スラッシュ,ドロスト,
,ミクシュ,
,スヴァチャ,ズヴァーチャ,
,ズラータ,ズラトカ,
,モルナル,モルナール,
,ニコラス,ミクラーシュ,
,ヴァヴァク,ヴァヴァーク,
,クリスティナ,クリスティーナ,
,ノシツ,ノスティツ,
,バレンタイン,ヴァレンティン,
,シギスムント,ジクムント,
,マスター・チェニェク,チェニェク親方,
,鍛冶屋ラドヴァン,鍛冶師のラドヴァン,
,マット, ヴォジェフ,
,ハンコ・ゴートヘッド,〈山羊頭〉のハンコ,
,チャーリーの帽子,カルリークの帽子,
,チャーリー,カルリーク,
,ハンドキャノン,ハーコヴニツェ,
,ハーヴェル,ハヴェル,
,バッハ,パーフ,
,クライストマン,フリストマン,
,バルナバ,バルナバーシュ,
,バート・クライストマン,バルト゠フリストマン,
,スモリク,スモリーク,
,ヴェジモラ,ヴェイモラ,
,エメラム,イムラム,
,ペルケルト,ペルコルト,
,オズワルド,オスヴァルト,
,バーナビー,バルナバーシュ,
,ボゼナ,ボジェナ,
,アダルベルト,ヴォイチェフ,
,パシュコ,パシコ,
,ディルク・スタリオン,〈牡馬〉のオンジェイ,
,ヴィンセンツ・フォン・クンバーク,クムベルクのチェニェク,
,ディルク,オンジェイ,
,ツマ,トゥーマ,
,コーネリアス,クロイハンツル.
,プルメル,プリューメル,
,ヴァンカ,ヴァニカ,
,パスカル,プシェメク,
,ズヴイェスト,ズヴェスト,
,フォウル,クジャートコ,
,トムキャット,コツォウル,
,カール・フォン・アンターブルック,カール゠フォン゠ウンターブルック,
,ペッパ,ペパ,
,ヒネク・イェヴィショフスキ,ヒネク゠イェヴィショフスキー,
,ベンツェスラウス・ルサード,ヴァーツラフ゠ルトハルト,
,ウルリッヒ・ヴァヴァク・フォン・ノイハウス,ウルリヒ゠ファファク゠フォン゠ノイハウス,
,ヴァヴァク・フォン・ノイハウス,ファファク゠フォン゠ノイハウス,
,ベンツェスラウス・ヴォスヒャー,ヴェンツェスラス゠ヴォルスヒャー,
,イェローム・ ナーズ,イェロニーム゠ナース,
Vondraschek,ヴォンドラシェク,ヴォンドラーチェク,Vondráček
Hanikerzh,ハニケルジュ,ハニケーシュ,Hanikéřovi
Valek,ヴァレク,ヴァレク,
Shtefek,シュトフェク,シュトフェク,
Heralt,ヘラルト,ヘラルト,
Kotz,コッツ,コッツ,
Doggy,ドギー,プセイクチェ,Psejkče
,スナウトとディガー,ムツェクとライチェク,Mucek a Rajček
Kittel,キッテル,キトリチカ,Kytlička
Sch.,シリング,コパ,kopy
bushel,オヴェス,ovca,
Dragfoot,ドラグフット,ルドルダ,Ludrda
Hauler,ホウラー,ミチュルナ,Mičurna
"Kolin Boy",コリーンボーイ,〈コリーン坊〉,Kolinsky
"White Arse",ホワイトアース,〈白ケツ〉,Bílá řiť
,グレーロック,コウマル,Koumara
Silky,シルキー,ブラダヴィチカ,Bradavička
Rothpetschkau,ロトペチュカウ,チェルヴェニー゠ペチキ,Červených Peček
,マハ,マフ,
,アントン・カスパー,アントン゠カシュパル,
,キブル,トゥプラーク,
,レオポルド,レオポルト,
,聖ジョージ,聖イジー,
,聖アントニー,聖アントニーン,
,アンソニー,アントニーン,
,ジョージ,イジー,
,マーサ,マルタ,
,ジミル,ズディミル,
,ジルカ,イルカ,
,ステア,ヴォレク,
,セバスチャン,セバスティアーン,
,ハンネス,ヨハン,
,ハニカー,ハニケーシュ,
,ペルゼル,パルツル,
,ヤン・パルジェツ,ヤン゠パジェス,
,バルトーシュ,バルトシュ,
,ビエラ,ビェラ,
,ビエルン,ヴィエルン,
,クリスチャン,クリスティアーン,
,ピセック,ピーセク,
,シャラップ,ドルジュフバ,
,コンラッド,コンラート,
,"セネック","チェニェク",
,ハーマン・パリツェ,〈小柄〉のヘルジマン,
,小ボケ,〈小柄〉,
,ディートリヒ・カッツ,ディートリヒ゠カッツ,
,フォン・ オーリッツ,フォン゠アウリッツ,
,フォン・オーリッツ,フォン゠アウリッツ,
,オーリッツ,アウリッツ,
,ジアンニ・ウンゲル,
,ロレンツォ・ポッソ,ロレンツォ゠ポッツォ,
,枢機卿ロレンツォ・ポッソ,枢機卿のロレンツォ゠ポッツォ,
,ジアンニ・ウンゲル,ハンガリーのジアンニ,
,ジュゼッペ・ カブリーニ,ジュゼッペ゠カブリーニ,
,ウェンゼル・バルトシェク,ヴァーツラフ゠バルトシュ,Václav Bartoš
,ヨルグ・プレング,ヨルク゠プランク,
,フシクレ,スク,
,ウルリッヒ・ヴァヴァク,オルジフ゠ヴァヴァーク,
,フランク,フランタ,
,フランシス,フランチシェク,
,フランシン,フランツィン,
,フレベイク,フジェベイク,
,ブシェク・ダブ,ブシェク゠ドゥプ,
,ブランズウィック王子,ブルンツヴィーク公,
,ブランズウィック,ブルンツヴィーク,
,プタ,プータ,
,プロコップ,プロコプ,
,エブナー,エブネル,
,ヘンズリン,ヘンスリン,
,スキャバー,シャベル,
,ベドジホヴィツェ,ビェロヴィツェ,
,ベンツェスラウス,ヴァーツラフ,
,ベルヒタ,ベルフタ,
,ボスヒャー,ヴォルスヘル,
,プツロフ,プツラウフ,
,ボルムラカ,ボルムラツァ,
,ポルナー,ポルネル,
,クヴァル,フヴァル,
,マリアン,マリアーン,
,マークヴァート,マルクヴァルト,
,マーコルド,マルコルタ,
,ブロシウス,ブロツィウス,
,ヴェンデュラ,ヴェンドゥラ,
,ケルシャ,ケルシュ,
,レジーナ,レギナ,
,ヨブスト,ヨシュト,
,クルカ,クルツァ,
,ヤコプ,ヤクプ,
,タンカード,ピヴェツ,
,ヤノシュ,ヤーノシュ,
,シルバーフィスト,ストジーブロペシュト,
,ラズロ,ラースロー,
,ラズロ・ファルカス,ラースロー゠ファルカシュ,
,ヤン・ソコル ,ヤン゠ソコル,
,レスティン,レシュテイン,
,ロータ,ルホタ,
,ワルトシュタイン,ヴァルドシュテイン,
,クリストファー,クシシュトフ,
,ヴィドラク,ヴィドラーク,
,ヴォークラン,ヴォークエリン,
,セミン,セミーン,
,ヤン・セミン,ヤン゠セミーン,
,バルトーシュ,バルトシェク,
,カバト,カバート,
,クリザン,クシジャン,
,サデウス,タデアーシュ,
,ジェイキー,クバイス,
,ジネク,ジンク,
,スタンリー,スタニーク,
,バウネク,ブジェティスラフ,
,ブラスター,ケツァル,
,ピント,シュコペク,
,ヘルシュ,ヘルショ,
,ベンツァ,ヴェンツァ,
,マリク,マリーク,
,ヴィテク,ヴィーテク,
,アニー,アンチェ,
,ルーカス,ルカーシュ,
,スラヴァ,スラーヴァ,
,ラーディ・ピーター,〈ラード〉のペトル,
,ヴェイサレク,ヴァイサル,
,ハインツ,ヒネク,
,マリエク,マリーク,
,マリク,マリーク,
,フロリアン・ロムニツ,フロリアーン゠ロムニツ,
,ハンス・マンリッヒャー,ハンス゠マンリッヒャー,
,マイケル,ミハル,
,イェノヴェファ,イェノヴェーファ,
,スポッツ,コスチャ,
,バーリー,ヴォトゥルバ,
,なぞなぞバーリー,謎掛け好きのヴォトゥルバ,
,ヘンゼル,ヤニーク,
,ペパ,ペピーク,
,ボタバ,ヴォタヴァ,
,アーノルド,アルノシュト,
,クレシヌ,クレスギン,
,シバルド,セバルド,
,ピシュタラ,ピーシュチャラ,
,ロクサーヌ,ロクサナ,
,ウィリアム,ヴィレーム,
,ユルグ,ヨルク,
,アンブローズ,アンブロジェ,
,ジラ,イーラ,
,イグナティウス,イグナーツ,
,フランティシェク,フランチシェク,
,レネック,レネク,
,ハーゲン・トロット,ハゲン゠トロット,
,ハーゲン,ハゲン,
,マーカス,マレク,
,ウォルフラム・ラウズ,ヴォルフラム゠ラウス,
,解体人ウォルフラム,死体清掃屋のヴォルフラム,
,解体人のウォルフラム,死体清掃屋のヴォルフラム,
,スラチャレク,スラチャーレク,
,スリヴカ,スリフカ,
,トレッドライト,ティハーチェク,
,ゲルトシュタック,ゲルトシュティク,
,ベティ,ビェタ,
,マリー,マリエ,
,マーガレット,マルケータ,
,ウィレム,ヴィレーム,
,アンドリュー,オンジェイ,
,テュルク,トゥレク,
,グジェゴジ,グジェゴシュ,
,ボブレク,ビブレク,
,マシュー,マトゥシュ,
,ドラホミラ,ドラホミーラ,
,バーサ,ベルフタ,
,ベンダ,ヴェンダ,
,マドレーヌ,マドラ,
,マニエッタ,マニェタ,
,スミル・フラシュカ,スミル゠フラシュカ,
,ティエツ・フェッター,ティーツ゠ヴェッテル,
,ポッソ,ポッツォ,
,ベアタ,ベアータ,
,ドロシー,ドロタ,
,パブレナ,パヴレナ,
,アルシク,アルシーク,
,ジークフリート ,ジブジート,
,ジークフリート,ジブジート,
,スリーピー,ジーマル,
,モフ,フルプ,
,オータ,オルジフ,
,麦わら,スラーマ,
,ローマン,ロマン,
,レディバード,ブラシュコ,
,ヤロスラヴ,ヤロスラフ,
,ネタン,ネフタ,
,ジェーン,ヤニカ,
,オドレン・フォン・ヴォティツェ,ヴォティツェのオドレン,
,アルベルト・フォン・ヴォティツェ,ヴォティツェのアルベルト,
,マルティン・ヤニェス・ デ・ラ・バーブーダ,マルティン゠ヤニェス゠デ゠ラ゠バルブダ
,マルティン・ヤニェス・デ・ラ・バーブーダ,マルティン゠ヤニェス゠デ゠ラ゠バルブダ,
,"フランタ・カルダン","フランタ゠クルダーヌー",
,ヤノシュ・ウーヘル,ハンガリー人のヤーノシュ,
,ピーター・ホーネット,〈スズメバチのペトル〉,
,"ピーター・“ホーネット”","〈スズメバチのペトル〉",
,ホーネット,ホウセル,
,ズール・アイヒェ,ツール゠アイヒェ,
,ガストハウス・ツア・アイヒェ,ガストハウス゠ツール゠アイヒェ,
,ダミアン,ダミアーン,
,ビクター,ヴィクトル,
,バウネク,ボフニェク,
,ヴィテク,ヴィーテク,
,ペッカー,ペーロ,
,パンケーキ,プラツカ,
,エッグマン,プカヴェツ,
,ゴドウィン,ボフタ,
,イェローム,イェロニーム,
,オッテ・コフ,オッテ゠コフ,
,ウラジーミル,ヴラディミール,
,バーナード,ベルナルト,
,ロバード,ボジェク,
,ディビシュ,ディヴィシュ,
,プレクトルード,プレクトルド,
,ヤコブ,ヤクプ,
,スティーブン,シュチェパーン,
,ピパ・ヴラフ,ピヴァ゠ヴラフ,
,ソメル・ブランバート,トーメル゠ブラヴンバルト,
,イェローム・ナーズ,イェロニーム゠ナース,
,バーナード・グルーバー,ベルナルト゠グルンベル,
,マーティン・オデリン,マルティン゠オデリン,
,フランツ・ローゼンタール,フランツ゠ロゼンタール,
,フランツ・ ローゼンタール,フランツ゠ロゼンタール,
,ベルトルド,ベルトルト,
,フランシス,フランチシェク,
,カレル・アローヘッド,矢頭のカレル,
,マルケタ,マルケータ,
,ヘンゼル・ヘッケル,ヘンゼル゠ヘッケル,
,ヴァツラフ・バルトーシュ,ヴァーツラフ゠バルトシェク,
,ヴァツラフ・バルトシェク,ヴァーツラフ゠バルトシュ,
,フリドゥシュ・クメル,フリドゥシュ゠クメル,
,ニコラス・クロンデル,ミクラーシュ゠クロンデル,
,ハマン・アルダー,ハンマン゠アルデル,
,アンドレアス・ポルナー,アンドレアス゠ポルネル,
,チョップ家のヘンゼル,ヘンデル゠ミット゠デン゠チョプ,
,アンドレアス・ポルネル,アンドレアス゠ポルネル,
,プロコップ・エルドリス,プロコプ゠エルドリス,
,ヴァツラフ・ヴォスヒャー,ヴァーツラフ゠ヴォルスヘル,
,カレル゠クミエル,オティーク゠ポツェム,
,クミエル,オティーク,
,ズビンコ・ハーゼ,ズビンコ゠ザイーツ,
,ズビグネフ・ハレ,ズビグニェフ゠ザイーツ,
,織物商人トゥフマッハー親方,毛織物職人のフィフレ親方,
,ゲルリッツ公ジョン,ゲルリッツのヨハン,
,カスパー・ハーヴェル,カシュパル゠ハヴェル,
,"カスパー・ ハーヴェル",カシュパル゠ハヴェル,
,カスパー・ルドルフ,カシュパル゠ルドルフ,
,"ルドルフ・ハヴェル",ルドルフ゠ハヴェル,
,"ルドルフ・ ハヴェル",ルドルフ゠ハヴェル,
,ペトル・マリ,ペトル゠マリ,
,ヴァネク・ピセック,ヴァニェク゠ピーセク,
,アンドレアス・デ・ブロダ,アンドレアス゠デ゠ブロダ,
,アンドレアス・プリュメル,アンドレアス゠プルーメル,
,アンドレアス・ プリュメル,アンドレアス゠プルーメル,
,ハインリン・ペルクスミド,ヘインリン゠ペルクスミト,
,アンナ・シフィドニツカ,アンナ゠スヴィードニツカー,
,ヒンチェ,ヒンツェ,
,プロシェク,プロチェク,
,ホアキム,ヤーヒム,
,ミドロワー,ミドロヴァル,
,将軍,ヴォイダ,
,“帝王”,〈カエサル〉,
,ヴァスコ,ヴァシュコ,
,ヴァ・ス・コ,ヴァシュコ,
,ヴイテク,ヴーイテク,
,ロザリー,ロザールカ,
,オッテ・コッホ,オッテ゠コフ,
,エンダーリン,エンデルリン,
,ブラチスラフ1世,ブラチスラフI世,
,ブラチスラウス1世,ブラチスラフI世,
,ブラチスラフ2世,ブラチスラフII世,
,ブラチスラウスI世,ブラチスラフII世,
,ボレスラウス,ボレスラフ,
,ボレスラウス1世,ボレスラフI世,
,ボレスラウス2世,ボレスラフII世,
,アルブレヒト・フォン・ヴァレンシュタイン,ヴァレンシュタインの何某,
,ライムントR.ハート,ライムント゠R゠ハルト,
,ヨハネス・フォン・ゲルンハウゼン,ヨハネス゠フォン゠ゲルハウゼン,
,ミクラーシュ・ヴェルクシュ,ミクラーシュ゠ヴェルクシュ,
,ミクラーシュ・ダチツキー,ミクラーシュ゠ダチツキー,
,アルベルトゥス・マグヌス,アルベルトゥス゠マグヌス,
,黒のベルトルド・シュヴァルツ,ベルトルド゠シュヴァルツ(黒のベルトルド),
,マルクス・グラエクス,マルクス゠グラエクス,
,ポジェブラディのジョージ,ポシェブラトのイジー,
,イジー・ス・ポジェブラディ,ポシェブラトのイジー,
,イブン・スィーナー,イブン゠スィーナー,
,イブン・バットゥータ,イブン゠バットゥータ,
,リパ、ドゥバの領主,リパー・ドウバの領主,
,ジトカ・イェリンコヴァ,イトカ゠イェリーンコヴァー,
Mikuláš Wonderbute,ミクラーシュ・ヴァンダービュート,ミクラーシュ゠ヴェルクショフ,Mikuláš Velkušov
Jan Hrabaň,ヤン・フラバニ,ヤン゠フラバニ,
,マルティン・クラドニ,マルティン゠クラドニー,
,ローザ・ルサード,ローザ゠ルトハルト,
,アルブレヒト4世,アルブレヒトIV世,
,クレメンス7世,クレメンスVII世,
,ウルバヌス6世,ウルバヌスVI世,
,ヨハネ23世,ヨハネスXXIII世,
,ボニファツィオ9世,ボニファティウスIX世,
,ベネディクト13世,ベネディクトゥスXIII世,
,カール・マルテル,カール゠マルテル,
Zdislav Zvířetický,ズディスラフ・ズヴィレテツキ,ズディスラフ゠ズヴィージェティツキー,Zdislav Zvířetický
,教皇グレゴリウス大帝,教皇大グレゴリウスI世,
,ヒルデガルト・フォン・ビンゲン,ヒルデガルト゠フォン゠ビンゲン,
,ヨハネス・リヒテナウアー,ヨハネス゠リヒテナウアー,
,クリスティーヌ・ド・ピサン,クリスティーヌ゠ド゠ピサン,
,パラティーノのニコラス・ゴリヤンスキー,ミクロシュ゠ガライ宮中伯,
,ヘンリクス・シュワブ,ヘンリク゠シュワーブ,
,ニコラス・ガブリエル,ミコシュ゠ガーボル,
,ニコラス・ゴリヤンスキー,ミクロシュ゠ガライ,
,ピポ・スパヌ,ピッポ゠スパーノ,
,ピッポ・スパーノ,ピッポ゠スパーノ,
,シュテファン・クロウ,〈大カラス〉のシュチェパーン,
,アダ・フォン・リップ,アーダ゠フォン゠リッペ,
,アデーラ・マンリッヒャー,アデーラ゠マンリッヒャー,
,アデラ・マンリッヒャー,アデーラ゠マンリッヒャー,
,ペーター・マンリッヒャー,ペーター゠マンリッヒャー,
,カスパー・ハーヴェル,カシュパル゠ハヴェル,
,"ルドルフ・ ハーヴェル",ルドルフ゠ハヴェル,
,ルドルフ・ハーヴェル,ルドルフ゠ハヴェル,
,"カスパー・ ルドルフ",カシュパル゠ルドルフ,
,カスパー・ルドルフ,カシュパル゠ルドルフ,
,タラス・ミューラ,タラス゠ムーラ,
,クリストフ・レフティ,左利きのクシシュトフ,
,ペトル・ドルジュフバ,ペトル゠ドルジュフバ,
,ボルドー・クラレット,ボルドーのクラレト,
,ピーセク・ラド,ピーセチャーク,
,ゲルハルト・イグラウアー,のゲルハルト゠イグラウアー,
,ホワイト・モンキー,〈白猿〉
,ビッグアイド・モンキー,〈大眼の猿〉
,ブラス・モンキー,〈真鍮の猿〉,
,ワンアイド・モンキー,〈隻眼の猿〉,
,ヤン・クンツリン・ルサード,ルトハルトのヤン゠クンズリン,
,エルネスト・ムーシグ,アルノシュト゠モーシク,
,フランツェクン・クリューゲル,フランツィン゠クリューゲル,
,ズビニェク・ゼレニー,緑のズビニェクLXIX世,
,ファラグラ伯爵,ファラグラ城伯,
,ヨセフ・ロズビティ,ヨセフ゠ロズビティ,
,フィリプ・ロズビティ,フィリプ゠ロズビティ,
,アンナ・ロズビタ,アンナ゠ロズビター,
,カレル・ロズビティ,カレル゠ロズビティ,
,イヴァナ・ロズビタ,イヴァナ゠ロズビター,
,煉瓦職人マーティン,煉瓦職人マルティン,
,アブラハム・ベン・イチャク,イブラヒム゠ベン゠イツハク,
,ラインハルト・ハイドリヒ,ラインハルト゠ハイドリヒ,
,スタストニー,シュチャストニー,
,メゾレス,メズホレズィ,
,サンティアゴ・デ・コンポステーラ,サンチャゴ゠デ゠コンポステーラ,
,クラコヴィッツ,クラーコヴィツェ,
,チンブルク,ジンブルク,
,スタンバーク,シュテルンベルク,
,ヴェセリ・ナド・サザヴォウ,ヴェセリー゠ナト゠サーザヴォウ,
,ボヘミアン・パラダイス,チェスキー゠ラーイ,
,グロース・スカール,グローススカール,
,ヤロミール・ネバク,ヤロミール゠ネバーク,
,ネバク,ネバーク,
,ウェンゼル・バルトシェク,ヴァーツラフ゠バルトシュ,
,ヴラトコ・ヴコヴィチ,ヴラトコ゠ヴトヴィチ,
,マルティン・メンシ,マルティン゠メンシ,
,コザコフ,コザーコフ,
,ベルゴー,ベルガウ,
,ホーリー,ホリ,
,マリア・クルム,フルム゠スヴァテー゠マジー,
,ジェレイオフ,ジェレヨフ,
,コステレッツ,コステレツ,
,コステレツ,コステレツ,
,ノイハウス,フラッツェ,
,プラチョフ,プラホフ,
,ケーニギンホーフ,ケーニヒスホフ,
,チューリンゲン＝マイセン,チューリンゲン゠マイセン,
,ミラン,ミラノ,
,シルバーシュタイン,フラデチェク,
,クッテンバーーーク,クッテンベーーールク,
,クッテンバーク,クッテンベルク,
,クッテンバーグ,クッテンベルク,
,クッテンバーグ・ベーコン,クッテンベルクのスラニナ,
,ベーコン,スラニナ,
,クワルク,トヴァロフ,
,クワルクチーズ,トヴァロフ,
,トゥルナウ,トゥルノフ,
,ゥルナウ,ゥルノフ,
,ローレンス,ヴァヴジネツ,
,「ポドトロセツカ・ウドリ（渓谷）」,ポドトロセツカー゠ウードリー,
,"ヴィドラク、ロキトニャク、クルチャク、フルドカ、ドルニ・リブニク",ヴィドラーク・ロキトニャーク・ケルハク・フラトカ・ドルニー゠リブニーク,
,オールド・クトナ,スタラー゠クトナ,
Platnerska,プラトネルスカ,プラトネーシュスカ,Platnéřska
Kupetska,クペトスカ,クペツカ,Kupecka
Hradek,フラデカ,フラデク,
,プレミシュル,プシェミスル,
,デンマーク製粉所,ダネマルク製粉所,
,ベルゴー,ベルガウ,
,岩塔池,ヴェジツコ,
,アポロニア,アポレナ,
,シュディア,ズジャール,
,ラッタイ,ラタイェ,
,ササウ,サーザヴァ,
,タルムバーク,タルムベルク,
,ウジッツ,ウージツェ,
,プリビスラヴィッツ,プシビスラヴィツェ,
,クトナー・ホラ,クトナー゠ホラ,
,ブルタバ,ヴルタヴァ,
,ヴラスキ・ドヴール,ヴラシュスキー゠ドヴール,
,ローワータウン,ドルニー゠ムニェスト (下市街地),
,アッパータウン,ホルニー゠ムニェスト (上市街地),
,コリン,コリーン,
,ランバーク,ラムベルク,
,スカリッツ,スカリツェ,
,ピルクシュタイン,ピルクシュテイン,
,ローゼンバーク,ロジュムベルク,
,ローゼンベルグ,ロジュムベルク,
,フォン・ローゼンバーク,フォン゠ロジュムベルク,
,フォン・ローゼンベルグ,フォン゠ロジュムベルク,
,ヴィシュシー・ブロト,ヴィシュシー゠ブロト,
,ラズロ・ファルカス,ラースロー゠ファルカシュ,
,レイパ,リパー,
,ヴィシェフラド,ヴィシェフラト,
,アウエズド,ウーイェスト,
,ウイジェド,ウーイェスト,
,ウーイェズド,ウーイェスト,
,ネバク池,ネバーク池,
,シュムバーク,シュムベルク,
,コシュムバーク,コシュムベルク,
,ローテムバーク,ロテムベルク,
,聖ジャイルズ,聖イルイー,
,カールシュタイン,カルルシュテイン,
,ベツレヘム礼拝堂,ベトレーム礼拝堂,
,ザンクト・カタリーネン,スヴァター゠カテジナ,
,ロノヴィチ,ロノフツィ,
,シルバー・スカリッツ,ストジーブルナー゠スカリツェ,
,グルント・イン・マリエ,グルント゠イン゠マリアエ,
,アンダーラク,ウンターラーク,
,ホプリンク,フメルナー,
,ズラター・コルナ,ズラター゠コルナ,
,ウィルトベルク,ヴィルトベルク,
,コラッチ,コラーチ,
,クラップバイザー,クラップヴィーザー,
,ブランデンブルク侯爵,ブランデンブルク選帝侯,
,ブランデンブルク侯,ブランデンブルク選帝侯,
,ピシュチャラ,ピーシュチャラ,
,オールセインツ,全聖人,
,アイゼンアドラー,アイゼーネアードラー,
,アイザーネアドラー,アイゼーネアードラー,
,アイン・ナーグル,アイン゠ネーゲル,
,ジョチ・ウルス,ジョチ゠ウルス,
,ヤン・クンズリン・ルトハルト,ヤン゠クンズリン゠ルトハルト,
,アルテン・ミネンシャハテ,アルテンミーネンシャハテ,
,タウバービショフスハイム,タウベルビショフシャイム,
,アイアン・イーグル,ジェレズニー゠オレル,
,ヴァルテンバーク,オクシューシキ,
,ガーリックスープ,チェスネチカ,
.ファイト・クラブ,喧嘩クラブ,
,泥棒男爵,強盗騎士,
,ペピク,ペピーク,
