"id","text_EN","text_CZ","text","modified","onlyid"
"ui_in_potion_nighthawk","You will see better in the dark for 10 minutes.","Na 10 minut uvidíš lépe ve tmě.","10分間にわたり暗闇でよく見えるようになる",,
"ui_in_potion_antidote_high","Decreases Nourishment by 20, cures poisoning and increases Vitality by 2 for 10 minutes.","Sníží Nasycenost o 20, léčí otravu a na 10 minut zvýší Vitalitu o 2.","10分間にわたり満腹度が20低下する代わりに毒が治癒し、体力が2上昇する",,
"ui_in_potion_antidote_medium","Decreases Nourishment by 20, cures food poisoning and increases Vitality by 1 for 10 minutes.","Sníží Nasycenost o 20, léčí otravu z jídla a na 20 minut zvýší Vitalitu o 3.","10分間にわたり満腹度が20低下する代わりに食中毒が治癒し、体力が1上昇する",,
"ui_in_potion_artemisia","Increases Strength by 2 for 10 minutes.","Na 10 minut zvyší Sílu o 2.","10分間にわたり筋力が2上昇する",,
"ui_in_potion_artemisia_high","Increases Strength by 4 and both attack and defence cost 25% less Stamina, lasts 10 minutes.","Na 10 minut zvyší Sílu o 4 a útok i obrana ubírají o 15&nbsp;% méně Staminy.","10分間にわたり筋力が4上昇し、攻撃と防御の消費スタミナが25%低下する",,
"ui_in_potion_artemisia_medium","Increases Strength by 4 for 10 minutes.","Na 10 minut zvyší Sílu o 4.","10分間にわたり筋力が4上昇する",,
"ui_in_potion_aquaVitalis_medium","You lose 15% less Health and slows bleeding by 10%. Lasts 10 minutes.","Na 10 minut sníží ztrátu Zdraví o 15&nbsp;% a zpomaluje krvácení o 15&nbsp;%.","10分間にわたり被ダメージが15%低下し、出血の速度が10%遅くなる",,
"ui_in_potion_aquaVitalis_high","You lose 30% less Health and slows bleeding by 30%. Lasts 10 minutes.","Na 10 minut sníží ztrátu Zdraví o 30&nbsp;% a zpomaluje krvácení o 30&nbsp;%.","10分間にわたり被ダメージが30%低下し、出血の速度が30%遅くなる",,
"ui_in_potion_painkiller","Suppresses the effects of injury and your maximum Stamina decreases with Health 15% less. Lasts 10 minutes.","Na 10 minut potlačuje následky zranění a maximální Stamina ti se Zdravím klesá o 15&nbsp;% méně.","10分間にわたり負傷の影響を抑制し、生命力低下に伴う最大スタミナの低下が15%緩和される",,
"ui_in_perfume_shortStrong_best","Increases Charisma by 10 for 10 minutes. However, if you use it in combination with another perfume, it decreases Charisma by 7.","Na 10 minut zvyší Charisma o 10. Pokud ji však použiješ zároveň s jinou voňavkou, tak Charisma o 7 sníží.","10分間にわたり魅力が10上昇する。別の香水と併用すると魅力が7低下する",,
"perk_hranicarsky_beh_desc","After 10 seconds of fast sprinting, you will briefly get a big bonus on stamina recovery. When you slow down afterwards, you'll quickly regain your strength and can start running again.","Po 10 sekundách rychlého sprintu získáš na krátko velký bonus k obnově Staminy. Když poté zpomalíš do pomalejšího běhu, rychle načerpáš síly zpět a můžeš znovu vyrazit dravě kupředu.","10秒間ダッシュすると、わずかな間スタミナの回復が大幅に上昇する。ダッシュをやめるとスタミナが急速に回復し、再びダッシュできるようになる",,
"ui_nm_poi_vinnySklep_specialWine_1","Pinot Grigio 1401","Šedé roučí 1401","1401年産ピノ・ノワール","1401年産ピノ゠グリ",
"ui_nm_poi_vinnySklep_specialWine_3","Pinot Noir 1401","Roučí modré, ročník 1401","1401年産ピノ・ノワール","1401年産ピノ゠ノワール",
"ui_in_poi_vinnySklep_specialWine_7","1402 was an excellent vintage and the winemaker clearly had considerable talent. This is the best wine ever made here.","1402 byl výtečný ročník a vinař měl zjevně značný talent. Jde o nejlepší víno, které se tu kdy urodilo.","1402年物は卓越したビンテージだ。手がけた職人は並外れた才能の持ち主に違いない。ここで作られた最高のワインである",,
"ui_nm_poi_vinnySklep_specialWine_7","Pinot Noir 1402","Modré roučí 1402","1402年産ピノ・ノワール","1402年産ピノ゠ノワール",
"ui_in_potion_embrocation_high","Increases Agility by 4 and Sprint will cost 20% less Stamina, lasts 15 minutes.","Na 15 minut zvýší Obratnost o 4 a sprint ti bude ubírat o 20&nbsp;% méně Staminy.","15分間にわたり俊敏性が4上昇し、ダッシュの消費スタミナが20%低下する",,
"ui_in_potion_painkiller_2","Suppresses the effects of injury and your maximum Stamina decreases with Health 30% less, lasts 15 minutes.","Na 15 minut potlačuje následky zranění a maximální Stamina ti se Zdravím klesá o 30&nbsp;% méně.","15分間にわたり怪我の影響を抑制し、生命力低下に伴う最大スタミナの低下が30%緩和される",,
"ui_in_potion_nighthawk_2","You will see better in the dark and Energy will decrease 25% slower, lasts 15 minutes.","Na 10 minut uvidíš lépe ve tmě a Odpočatost ti bude klesat o 25&nbsp;% pomaleji.","15分間にわたり暗闇でよく見えるようになり、活力の低下が25%遅くなる",,
"ui_in_potion_artemisia_best","Increases Strength by 6 and both attack and defence cost 35% less Stamina. Lasts 15 minutes.","Na 15 minut zvyší Sílu o 6 a útok i obrana ubírají o 50&nbsp;% méně Staminy.","15分間にわたり筋力が6上昇し、攻撃と防御の消費スタミナが35%低下する",,
"ui_in_potion_aquaVitalis_best","You lose 60% less Health and bleed 60% slower for 15 minutes.","Na 15 minut sníží ztrátu Zdraví o 60&nbsp;% a zpomaluje krvácení o 60&nbsp;%.","15分間にわたり被ダメージが60%低下し、出血の速度が60%遅くなる",,
"ui_in_potion_painkiller_4","Suppresses the effects of injury and your maximum Stamina decreases with Health 75% less, lasts 15 minutes.","Na 30 minut potlačuje následky zranění a maximální Stamina ti se Zdravím klesá o 75&nbsp;% méně.","15分間にわたり負傷の影響を抑制し、生命力低下に伴う最大スタミナの低下が75%緩和される",,
"ui_in_die_Lu","The first of the line of demonic dice.","První z ďábelských kostek.","1つ目の悪魔のダイス",,
"ui_in_potion_marigold","Heals 15 health over one minute and hangover passes 50% faster.","Po dobu jedné minuty vyléčí 15 Zdraví a kocovina mizí o 50&nbsp;% rychleji.","1分間で生命力が15ポイント回復し、二日酔いからの回復が50%早まる",,
"ui_in_potion_marigold_2","Heals 25 health over one minute and hangover passes 100% faster.","Po dobu jedné minuty vyléčí 25 Zdraví a kocovina mizí o 100&nbsp;% rychleji.","1分間で生命力が25ポイント回復し、二日酔いからの回復が100%早まる",,
"ui_in_potion_marigold_3","Heals 40 health over one minute and instantly cures hangover.","Po dobu jedné minuty vyléčí 40 Zdraví a kocovina zmizí ihned.","1分間で生命力が40ポイント回復し、二日酔いが即座に治る",,
"ui_in_potion_marigold_4","Heals 60 health over one minute and instantly cures hangover.","Po dobu jedné minuty vyléčí 60 Zdraví a kocovina zmizí ihned.","1分間で生命力が60ポイント回復し、二日酔いが即座に治癒される",,
"perk_combo_C05_lore","After a strike, pin down the opponent's blade and, with a short step forward, cut around it to strike the opponent from the side","Po útoku sleduj pohyb soupeřovy čepele a střetni se s ní pomocí krátkého rychlého výpadu, abys vzápětí zasáhl soupeře z boku.","1回攻撃した後に敵の剣を押さえ、前へ小さく踏み込んで回り込み、側面から攻撃する",,
"ui_in_apple","An apple a day keeps the apothecary away. It's not terribly nutritious, but stays fresh a long time.","Koulelo se, koulelo… Však to znáte. Jablko sice příliš nezasytí, ale zase vydrží dlouho čerstvé.","1日1個のリンゴで薬屋いらず。栄養はそこまで多くはないが、長い間腐らず新鮮な状態が続く",,
"ui_in_appleCooked","They say an apple a day keeps the sawbones away. When you boil them it makes for a tasty treat.","Babka měla čtyři. Dědeček bohužel jen dvě. Po uvaření jablek všech měli oba chutný zákusek.","1日1個リンゴを食べれば医者いらずになるという。煮ればおいしいおやつになる",,
"ui_in_potion_insomnia_best","Increases Energy by 30 and Energy decreases 50% slower for a day.","Zvyšuje Odpočatost o 30 a na celý den Odpočatost klesá o 50&nbsp;% pomaleji.","1日にわたり活力が30上昇し、活力の低下が50%遅くなる",,
"ui_in_chamomile_decoction_medium","For one day, sleep will heal you three times faster.","Celý den tě bude spánek léčit 3x rychleji.","1日にわたり睡眠による生命力の回復速度が3倍になる",,
"ui_in_chamomile_decoction_high","For one day, sleep will heal you four times faster and restore Energy two times faster.","Celý den tě bude spánek 4x rychleji léčit a 2x rychleji ti zvedat Odpočatost.","1日にわたり睡眠による生命力の回復速度が4倍、活力の回復速度が2倍になる",,
"ui_in_potion_bard_medium","Increases Speech by 3 and increases your reading speed for a day.","Na den zvýší Výřečnost o 3 a zrychlí čtení.","1日にわたり話術が3上昇し、読書の速度が速くなる",,
"ui_in_potion_aesop_best","Increases Horsemanship and Houndmaster by 7 for one day. Animals will take less notice of you, so you'll find it easier to approach them. Dogs won't notice you at all.","Na celý den zvýší Jezdectví a Psovoda o 7. Zvířata si tě budou méně všímat, takže se k nim snáz přiblížíš. Pro psy jako bys nebyl.","1日にわたり馬術と犬使いが7上昇する。動物に近づいても警戒されにくくなる。犬にはまったく気づかれない",,
"ui_in_potion_bard_high","Increases Speech by 5 and increases your reading speed for a day.","Na den zvýší Výřečnost o 5 a zrychlí čtení.","1日の間、話術が5上昇し、読書の速度が速くなる",,
"ui_in_potion_stamina_best","Increases Stamina by 60% and Stamina regeneration by 30% for 1 hour.","Na celou hodinu zvyší Staminu o 60&nbsp;% a regeneraci Staminy o 30&nbsp;%.","1時間にわたりスタミナが60%上昇し、スタミナの回復速度が30%上昇する",,
"ui_in_potion_padfoot_4","Increases Craftmanship and Thievery by 8 for 1 hour.","Na celou hodinu zvýší Řemeslnictví a Zlodějnu o 8.","1時間にわたり職人技と窃盗術が8上昇する",,
"perk_poison_specialist_desc","You can poison more arrows from a single dose of poison, and it will last on your weapon for more hits.","Z jedné dávky jedu dokážeš otrávit více šípů a na zbrani ti jed vydrží po více zásahů.","1本分の量で複数の矢に毒を塗ることができ、命中した場合も効果が長続きする",,
"ui_in_loot_goldenChalice","I'll just have one cup and go.","Dám si jenom jeden kalíšek a půjdu.","1杯だけ飲んだら行こう",,
"ui_in_bascinet_open01","A helmet called a bascinet forged from a single piece of sheet metal. In this basic form, it has no bretache or klappvisor and therefore does not protect the warrior's face.","Přilbice zvaná šlap vykovaná z jednoho kusu plechu. V této základní podobě nemá nánosník ani klapvisor a nechrání tudíž obličej bojovníka.","1枚の板金から鍛造されたバシネットと呼ばれる兜。基本的な形で鼻当てやクラップバイザーもないため、戦士の顔面は保護できない",,
"ui_in_KettleHat03","An iron hat forged from a single piece of sheet metal and therefore slightly more durable, but still unnecessarily heavy. Its spin makes it better able to withstand blows to the head, but it needs to be supplemented with a quilted hood or collar, as it does not protect the warrior's cheeks or neck on its own.","Železný klobouk vykovaný z jednoho kusu plechu a proto o něco odolnější, ale stále zbytečně těžký. Díky svému hřebenu lépe odolává úderům do hlavy, ale je potřeba ho doplnit prošívanou kuklou nebo límcem, protože samotný nechrání líce ani krk bojovníka.","1枚の板金から鍛造された鉄の帽子のため、ある程度の耐久性はあるが、それでも不必要に重い。回転性があるため頭部への打撃には強いが、単体では戦士の頬や首を保護しないためキルト地のフードや首あてで補う必要がある",,
"ui_in_kettlehat07","An iron hat forged from a single piece of sheet metal so that it is lighter and at the same time can withstand all kinds of blows. One of the finest helmets a simple squire can afford. Of course, it must be worn with a quilted or chainmail collar, as it does not protect the warrior's neck or shoulders.","Železný klobouk vykovaný z jednoho kusu plechu tak, aby byl lehký a zároveň odolal všem druhům úderů. Jedna z nejlepších přilbic, které si může prostý zbrojnoš dovolit. Samozřejmě je potřeba ji nosit dohromady s prošívaným nebo kroužkovým límcem, protože nechrání krk ani ramena bojovníka.","1枚の金属板で作った鉄製の帽子。比較的軽いほうで、それでいてあらゆる種類の攻撃に耐えられる。身分の低い従騎士が買える最高の兜の1つだ。もちろん、首や肩までは保護できないので、キルト地や鎖かたびらの首あてを一緒に着けないと十分ではない",,
"ui_in_potion_stamina","Increases Stamina by 25% for 20 minutes.","Na 20 minut zvyší Staminu o 15&nbsp;%.","20分間にわたりスタミナが25%上昇する",,
"ui_in_potion_embrocation_best","Increases Agility by 6 and Sprint will cost 30% less stamina, lasts 20 minutes.","Na 20 minut zvýší Obratnost o 6 a sprint ti bude ubírat o 30&nbsp;% méně Staminy.","20分間にわたり俊敏性が6上昇し、ダッシュの消費スタミナが30%低下する",,
"ui_in_potion_nighthawk_3","You will see better in the dark and Energy will decrease 50% slower, lasts 20 minutes.","Na 20 minut uvidíš lépe ve tmě a Odpočatost ti bude klesat o 50&nbsp;% pomaleji.","20分間にわたり暗闇でよく見えるようになり、活力の低下が50%遅くなる",,
"ui_in_potion_antidote_best","Decreases Nourishment by 30, cures poisoning and increases Vitality by 3 for 20 minutes.","Sníží Nasycenost o 30, léčí otravu a na 20 minut zvýší Vitalitu o 3.","20分間にわたり満腹度が30低下する代わりに毒が治癒し、体力が3上昇する",,
"ui_in_potion_padfoot","Increases Craftmanship and Thievery by 2 for 20 minutes.","Na 10 minut zvýší Řemeslnictví a Zlodějnu o 2.","20分間にわたり職人技と窃盗術が2上昇する",,
"ui_in_potion_padfoot_2","Increases Craftmanship and Thievery by 4 for 20 minutes.","Na 20 minut zvýší Řemeslnictví a Zlodějnu o 4.","20分間にわたり職人技と窃盗術が4上昇する",,
"ui_in_potion_painkiller_3","Suppresses the effects of injury and your maximum Stamina decreases with Health 50% less, lasts 20 minutes.","Na 20 minut potlačuje následky zranění a maximální Stamina ti se Zdravím klesá o 50&nbsp;% méně.","20分間にわたり負傷の影響を抑制し、生命力低下に伴う最大スタミナの低下が50%緩和される",,
"ui_in_perfume_longWeak","Increases Charisma by 1 for 20 minutes. However, if you use it in combination with another perfume, it decreases Charisma by 5.","Na 20 minut zvyší Charisma o 1. Pokud ji však použiješ zároveň s jinou voňavkou, Charisma o 5 sníží.","20分間にわたり魅力が1上昇する。別の香水と併用すると魅力が5低下する",,
"ui_in_perfume_longWeak_medium","Increases Charisma by 2 for 20 minutes. However, if you use it in combination with another perfume, it decreases Charisma by 5.","Na 20 minut zvyší Charisma o 2. Pokud ji však použiješ zároveň s jinou voňavkou, tak Charisma o 5 sníží.","20分間にわたり魅力が2上昇する。別の香水と併用すると魅力が5低下する",,
"ui_in_potion_nighthawk_4","You will see better in the dark and Energy will not decrease at all, lasts 25 minutes.","Na 25 minut uvidíš lépe ve tmě a Odpočatost ti nebude klesat vůbec.","25分間にわたり暗闇でよく見えるようになり、活力の低下がなくなる",,
"ui_in_lorebook_bookOfPrayers","Two old prayers, Lord have Mercy on Us, and Saint Wenceslas","Dvě modlitby staré: Hospodine pomiluj ny a Svatý Václave","2つの古い祈り。我らと聖ベンツェスラウスに神のお慈悲があらんことを",,
"ui_in_die_Ci","The second in the line of the demonic dice, she likes to get lost, but when she's with her sisters she's very strong.","Druhá z čertovských kostek, která se ráda ztráci, ale když je spolu se svýma sestrama, tak je velmi silná.","2つ目の悪魔のダイス。よくいなくなるが、姉妹たちと共にいるときは非常に強い",,
"ui_in_poi_duelOstrostrelcu_key","A key found near two dead marksmen.","Klíč, který jsem našel poblíž dvou mrtvých střelců.","2人の弓兵の死体のそばにあった鍵",,
"ui_in_lorebook_onPapalSchism","How two popes came together on the papal throne and what it means for Christianity. ","Kterak se na stolci papežském hned dva papežové sešli a co to znamená pro křesťanstvo.","2人の教皇が教皇の座に就いた経緯と、それがキリスト教にもたらす意味",,
"ui_in_kovaniPoklad_adornedAxe","The beautiful axe from the legend of the two woodcutters was lost for many years, but Henry of Skalitz found it and restored it to its former glory.","Překrásná sekera z legendy o dvou dřevorubcích byla mnoho let ztracená, ale Jindřich ze Skalice ji našel a vrátil jí její zašlou slávu.","2人の木こりの伝説にある美しい斧は失われて久しいが、スカリッツのヘンリーが発見し、以前の輝きを取り戻させた",,
"ui_in_potion_bard_best","Increases Speech by 7, increases reading speed and increases the amount of experience gained by 50% for two days.","Na 2 dny zvýší Výřečnost o 7, zrychlí čtení a zvýší množtví získaných zkušeností o 50&nbsp;%.","2日にわたり話術が7上昇し、読書の速度が早くなり、獲得経験値が50%上昇する",,
"ui_in_chamomile_decoction_best","For two days, sleep will heal you five times faster and restore Energy three times faster.","Dva dny tě bude spánek 5x rychleji léčit a 3x rychleji ti zvedat Odpočatost.","2日間にわたり睡眠による生命力の回復速度が5倍、活力の回復速度が3倍になる",,
"ui_maplegend_hromovyKamen_hiddenStash","Two dead trees","Dva uschlé stromy","2本の枯れ木","2本の枯れ木",
"ui_in_perfume_longWeak_high","Increases Charisma by 3 for 30 minutes. However, if you use it in combination with another perfume, it decreases Charisma by 5.","Na 30 minut zvyší Charisma o 3. Pokud ji však použiješ zároveň s jinou voňavkou, tak Charisma o 5 sníží.","30分間にわたり魅力が3上昇する。別の香水と併用すると魅力が5低下する",,
"ui_in_kovaniAsiDoVezi_protectiveAxe","An axe forged from three protective talismans. Hidden in the attic of the house, it will drive away every storm, fire and hailstorm. Well, perhaps…","Sekera ukovaná ze tří ochranných talismanů. Schovaná na půdě domu odežene od stavení každou bouřku, požár i krupobití. Tedy snad…","3つの守護のお守りから作られた斧。家の屋根裏に隠しておけば、嵐、火事、雹などを追い払ってくれる。恐らくは…",,
"ui_nm_zachranaPtacka_trojak_die","Three die","Kostka Troják","3のダイス","3のダイス",
"ui_in_perfume_shortStrong","Increases Charisma by 3 for 3 minutes. However, if you use it in combination with another perfume, it decreases Charisma by 7.","Na 3 minuty zvyší Charisma o 3. Pokud ji však použiješ zároveň s jinou voňavkou, tak Charisma o 7 sníží.","3分間にわたり魅力が3上昇する。別の香水と併用すると魅力が7低下する",,
"perk_balanced_diet_desc","If you don't overeat, get drunk or starve for 3 consecutive days, your stamina will recover 20&nbsp;% faster and you will gain 10&nbsp;% more experience in the Vitality stat. If you overeat, get drunk or starve, you will lose the perk effect and will need to reactivate it.","Pokud se během 3 dní za sebou nepřejíš, neopiješ a nebudeš hladovět, zrychlí se ti obnovování Staminy o 20&nbsp;% a budeš získávat o 10&nbsp;% více zkušeností do Vitality. Jakmile se ale přejíš, opiješ nebo budeš hladovět, o efekt perku přijdeš a bude nutné jej znova aktivovat.","3日連続で過食、泥酔、空腹を避けることができた場合、スタミナの回復速度が20&nbsp;%上昇し、体力への経験値が10&nbsp;%上昇する。過食、泥酔、空腹になると効果は失われ、再発動しなければならない",,
"ui_nm_loot_threeleggedChalice","Three-legged cup","Třínohý pohár","3本脚のカップ","3本脚のカップ",
"ui_in_loot_threeleggedChalice","The three-legged cup is really hard to drink from, but it makes you look like you're consuming a mystical elixir.","Z trojnohého poháru se sice opravdu špatně pije, ale zato člověk vypadá, jako když užívá mystický elixír.","3本脚のカップは非常に飲みにくいが、これを使うと神秘のエリクサーを飲んでいるかのように見える",,
"ui_in_potion_padfoot_3","Increases Craftmanship and Thievery by 6 for 40 minutes.","Na 40 minut zvýší Řemeslnictví a Zlodějnu o 6.","40分間にわたり職人技と窃盗術が6上昇する",,
"ui_in_perfume_longWeak_best","Increases Charisma by 5 for 40 minutes. However, if you use it in combination with another perfume, it decreases Charisma by 5.","Na 40 minut zvyší Charisma o 5. Pokud ji však použiješ zároveň s jinou voňavkou, tak Charisma o 5 sníží.","40分間にわたり魅力が5上昇する。別の香水と併用すると魅力が5低下する",,
"ui_in_perfume_shortStrong_medium","Increases Charisma by 4 for 4 minutes. However, if you use it in combination with another perfume, it decreases Charisma by 7.","Na 4 minut zvyší Charisma o 4. Pokud ji však použiješ zároveň s jinou voňavkou, Charisma o 7 sníží.","4分間にわたり魅力が4上昇する。別の香水と併用すると魅力が7低下する",,
"ui_in_potion_aquaVitalis","You lose 15% less Health for 5 minutes.","Na 5 minut sníží ztrátu Zdraví o 15&nbsp;%.","5分間にわたり被ダメージが15%低下する",,
"ui_in_perfume_shortStrong_high","Increases Charisma by 7 for 5 minutes. However, if you use it in combination with another perfume, it decreases Charisma by 7.","Na 5 minut zvyší Charisma o 7. Pokud ji však použiješ zároveň s jinou voňavkou, tak Charisma o 7 sníží.","5分間にわたり魅力が7上昇する。別の香水と併用すると魅力が7低下する",,
"perk_perfect_block_desc","<p>The Perfect Block is the best way to deflect your opponent's attack. It doesn't cost any stamina, and certain attacks can only be blocked with a Perfect Block.</p><p>The shield on your combat rosette will light up green when you're able to perform a Perfect Block.</p><p>If you attack right after performing a Perfect Block, you can perform a counter-attack - a riposte.</p>","<p>Perfektně načasovaný blok je nejlepší možností, jak odrazit protivníkův útok. Zejména proto, že nevyčerpá žádnou staminu a některé útoky nelze odrazit jinak než právě perfektním blokem.</p><p>Kdy provést perfektní blok ti napoví rozsvícení zeleného štítku uprostřed zaměřovací růžice. </p><p> Navíc pokud ihned po perfektním bloku stiskneš tlačítko pro útok, navážeš okamžitým protiútokem - ripostou. </p>","<p>パーフェクトブロックは相手の攻撃を受け流す最善の方法だ。スタミナを消費せず、パーフェクトブロックでしか防げない攻撃もある</p><p>パーフェクトブロックを繰り出せるようになると、戦闘時に表示される花の盾が緑色に光る</p><p>パーフェクトブロックを決めたあとに右から攻撃すると、反撃技の「突き返し」を繰り出すことができる</p>",,
"ui_nm_breviariumMinor","Breviarium Minorum","Breviarium Minorum","Breviarium Minorum","ブレウァリウム゠ミノルム",
"char_TRUHLAR_TRISKA_KUTNA_HORA_uiName","Carpenter Splinter","Truhlář Tříska","Carpenter Splinter","大工のトシースカ",
"ui_maplegend_dlcs","Start of DLC task","Začátek DLC úkolu","DLCタスク開始","DLCタスク開始",
"qname_crosscountrytrosecko_7ve9",,"Dostihy na koních","Dostihy na koních",,
"ui_maplegend_fishing_spot","Fishing spot","Račí mělčina","Fishing spot","釣り場",
"ui_hud_indulgence_part2","Gr.","Gr.","Gr.","Gr.",
"char_TOVARYS_STAHLAVA_KUTNA_HORA_uiName","Journeyman Stihlau","Tovaryš Šťáhlav","Journeyman Stihlau","職人のシュチャーフラフ",
"qname_jizdnilukostrelbatr_eahd",,"Jízdní lukostřelba","Jízdní lukostřelba",,
"qname_zavodnipodkovy_mT3F","Magic horseshoes","Kouzelné podkovy","Magic horseshoes","魔法の馬蹄",
"char_MALIR_DLC1_uiName","Master Voyta","Mistr Vojtěch","Master Voyta","ヴォイチェフ親方",
"char_PAN_DOLANSKE_TVRZE_uiName","PLACEHOLDER Lord of Dolan Fortress","PLACEHOLDER Pán dolanské tvrze","PLACEHOLDERドラン砦の城主","PLACEHOLDERドラン砦の城主",
"ui_nm_test_swordWithLongName","WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW","WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW","WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW","WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW",
"ui_in_r_kovaniZavodniPodkovy_caulkinHorseshoe",,"Speciálně určené pro jízdu ve skalách.","ui_in_r_kovaniZavodniPodkovy_caulkinHorseshoe",,
"ui_in_stareKosti_skull","Dust you are and to dust you shall return. The skull serves as a reminder of the transience of human life.","Prach jsi a v prach se obrátíš. Lebka jako připomínka pomíjivosti lidského života.","“塵からなりて塵に戻る”。その頭蓋骨は人の命の儚さを思い起こさせる",,
"qname_jantlama_3l7B","Johnny the Gob","Jan Tlama","“大口”ジョニー","大口のヤン",
"char_JAN_TLAMA_uiName","Johnny the Gob","Jan Tlama","“大口”ジョニー","大口のヤン",
"ui_nm_taboryLapkuTrosecko_tlamaShield","Johnny the Gob's shield","Štít Jana Tlamy","“大口”ジョニーの盾","大口のヤンの盾",
